pair_idx,layer,clean_text,target_word,target_position,baseline_sentiment,corrupt_sentiment,full_layer_effect,position_effect,control_effect,position_specificity,expected_flip
0,0,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.3593577407300472,0.2205042541027069,0.5093221366405487,-0.2888178825378418,True
0,1,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.37074475549161434,0.027109414339065552,0.48177918791770935,-0.4546697735786438,True
0,2,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.37482463009655476,0.054369837045669556,0.5178365409374237,-0.46346670389175415,True
0,3,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.37156322970986366,0.04586729407310486,0.5446057617664337,-0.49873846769332886,True
0,4,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.17619894444942474,0.1994241178035736,0.5866616070270538,-0.3872374892234802,True
0,5,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.1318851113319397,0.18275536596775055,0.5965307056903839,-0.41377533972263336,True
0,6,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.35846829041838646,0.2640497088432312,0.5988164842128754,-0.33476677536964417,True
0,7,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.3959633279591799,0.26841288805007935,0.5990990102291107,-0.33068612217903137,True
0,8,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.3991345901740715,0.23526176810264587,0.599055141210556,-0.36379337310791016,True
0,9,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.3997903902618418,0.3799451254308224,0.5998068153858185,-0.2198616899549961,True
0,10,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.39979726401246296,0.3963686767965555,0.57356396317482,-0.17719528637826443,True
0,11,The cinema experience was incredible,['incredible',5,0.39979735016822815,1.21765193414336e-11,0.3997973501560516,0.397995135281235,0.0,0.397995135281235,True
1,0,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.9556711725890636,0.46652358770370483,0.017727673053741455,0.4487959146499634,True
1,1,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.9693005047738552,0.6138493120670319,0.020077943801879883,0.593771368265152,True
1,2,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.9643080458045006,0.5436452031135559,0.008667469024658203,0.5349777340888977,True
1,3,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.9521036893129349,0.6463567614555359,0.0032579898834228516,0.643098771572113,True
1,4,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.7515992075204849,0.8079055994749069,0.0031015872955322266,0.8048040121793747,True
1,5,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.6518558859825134,0.7088322341442108,0.00018036365509033203,0.7086518704891205,True
1,6,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.9594983607530594,0.8212151974439621,6.014108657836914e-05,0.8211550563573837,True
1,7,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.9853080241009593,0.8274070173501968,0.0004963874816894531,0.8269106298685074,True
1,8,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.9930149475112557,0.6544337868690491,0.0005892515182495117,0.6538445353507996,True
1,9,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.9993106723559322,0.9700817503035069,0.0005917549133300781,0.9694899953901768,True
1,10,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.9994013947217582,0.9931197483092546,0.0005590915679931641,0.9925606567412615,True
1,11,The quality was wonderful,['wonderful',4,0.9994020462036133,3.6716955864601886e-11,0.9994020461668963,0.998565596586559,0.0,0.998565596586559,True
2,0,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.38956695795059204,0.38956695795059204,0.055050551891326904,0.33451640605926514,True
2,1,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.5602693259716034,0.5602693259716034,0.06374996900558472,0.4965193569660187,True
2,2,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.6154438257217407,0.6154438257217407,0.019372403621673584,0.5960714221000671,True
2,3,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.7017048001289368,0.7017048001289368,0.017151236534118652,0.6845535635948181,True
2,4,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.583364337682724,0.583364337682724,0.006665647029876709,0.5766986906528473,True
2,5,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.3510158061981201,0.3510158061981201,0.0009237527847290039,0.3500920534133911,True
2,6,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.8772522285580635,0.8772522285580635,9.72747802734375e-05,0.8771549537777901,True
2,7,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.9430730491876602,0.9430730491876602,7.510185241699219e-06,0.9430655390024185,True
2,8,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.977881658822298,0.977881658822298,4.076957702636719e-05,0.9778408892452717,True
2,9,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.997341516893357,0.997341516893357,4.303455352783203e-05,0.9972984823398292,True
2,10,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.9997807519248454,0.9997807519248454,3.5881996154785156e-05,0.9997448699286906,True
2,11,The book was fantastic,['fantastic',4,0.9999550580978394,3.5937107440986438e-06,0.9999514643870953,0.9999514643870953,0.0,0.9999514643870953,True
3,0,The cinema experience was spectacular,['spectacular',5,0.0011958862887695432,4.308942980202346e-09,0.8977444384945557,0.5701821063412353,0.9283731792820618,-0.3581910729408264,True
3,1,The cinema experience was spectacular,['spectacular',5,0.0011958862887695432,4.308942980202346e-09,0.6441909287823364,0.3823811028851196,0.9165753339184448,-0.5341942310333252,True
3,2,The cinema experience was spectacular,['spectacular',5,0.0011958862887695432,4.308942980202346e-09,0.5114275430096313,0.2599916373146698,0.9699371074093506,-0.7099454700946808,True
3,3,The cinema experience was spectacular,['spectacular',5,0.0011958862887695432,4.308942980202346e-09,0.4078964804066345,0.2525623057736084,0.9564568613423035,-0.7038945555686951,True
3,4,The cinema experience was spectacular,['spectacular',5,0.0011958862887695432,4.308942980202346e-09,0.6987000916851684,0.4986584995640442,0.980058214510791,-0.4813997149467468,True
3,5,The cinema experience was spectacular,['spectacular',5,0.0011958862887695432,4.308942980202346e-09,0.6748228286160156,0.3947339568985626,0.9865923736942932,-0.5918584167957306,True
3,6,The cinema experience was spectacular,['spectacular',5,0.0011958862887695432,4.308942980202346e-09,0.2640186761273071,0.1321219716919586,0.9740566228283569,-0.8419346511363983,True
3,7,The cinema experience was spectacular,['spectacular',5,0.0011958862887695432,4.308942980202346e-09,0.06946319236885756,0.07062199607025832,0.9841696236981079,-0.9135476276278496,True
3,8,The cinema experience was spectacular,['spectacular',5,0.0011958862887695432,4.308942980202346e-09,0.01998892135452479,0.007371382671408355,0.9685319279087707,-0.9611605452373624,True
